timestamp,spi_sent
2026-01-10 15:41:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:41:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:42:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:43:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:44:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:47,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:45:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:57,44 72 62 46 0 75 18 0 1
2026-01-10 15:46:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:08,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:13,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:18,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:23,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:28,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:33,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:38,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:43,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:48,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:53,45 10 63 47 0 75 18 0 1
2026-01-10 15:47:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:47:58,45 10 63 47 0 75 18 0 1
2026-01-10 15:48:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:03,45 10 63 47 0 75 18 0 1
2026-01-10 15:48:06,45 10 63 47 0 75 18 0 1
2026-01-10 15:48:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:08,45 10 63 47 0 75 18 0 1
2026-01-10 15:48:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:13,45 10 63 47 0 75 18 0 1
2026-01-10 15:48:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:28,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:33,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:38,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:43,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:48,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:53,44 72 62 46 0 75 18 0 1
2026-01-10 15:48:58,44 72 62 46 0 75 18 0 1
2026-01-10 15:49:03,44 72 62 46 0 75 18 0 1
2026-01-10 15:49:08,44 72 62 46 0 75 18 0 1
2026-01-10 15:49:13,44 72 62 46 0 75 18 0 1
2026-01-10 15:49:16,44 72 62 46 0 75 18 0 1
2026-01-10 15:49:18,44 72 62 46 0 75 18 0 1
2026-01-10 15:49:23,44 72 62 46 0 75 18 0 1
2026-01-10 15:49:28,45 10 63 47 0 75 18 0 2
2026-01-10 15:49:33,45 10 63 47 0 75 18 0 2
2026-01-10 15:49:38,45 10 63 47 0 75 18 0 2
2026-01-10 15:49:43,45 10 63 47 0 75 18 0 2
2026-01-10 15:49:48,45 10 63 47 0 75 18 0 2
2026-01-10 15:49:53,45 10 63 47 0 75 18 0 2
2026-01-10 15:49:58,45 10 63 47 0 75 18 0 2
2026-01-10 15:50:03,45 10 63 47 0 75 18 0 2
2026-01-10 15:50:08,45 10 63 47 0 75 18 0 2
2026-01-10 15:50:13,45 10 63 47 0 75 18 0 2
2026-01-10 15:50:18,45 10 63 47 0 75 18 0 2
2026-01-10 15:50:23,45 10 63 47 0 75 18 0 2
2026-01-10 15:50:26,45 10 63 47 0 75 18 0 2
2026-01-10 15:50:28,45 10 63 47 0 75 18 0 2
2026-01-10 15:50:33,45 10 63 47 0 75 18 0 2
2026-01-10 15:51:35,45 10 63 47 0 75 18 0 2
2026-01-10 15:52:45,45 10 63 47 0 75 18 0 2
2026-01-10 15:53:55,45 10 63 47 0 75 18 0 2
2026-01-10 15:55:05,45 10 63 47 0 75 18 0 2
2026-01-10 15:56:14,45 10 63 47 0 75 18 0 2
2026-01-10 15:56:23,45 10 63 47 0 75 18 0 1
2026-01-10 15:56:28,45 10 63 47 0 75 18 0 1
2026-01-10 15:56:33,45 10 63 47 0 75 18 0 1
2026-01-10 15:56:38,45 10 63 47 0 75 18 0 1
2026-01-10 15:56:43,45 10 63 47 0 75 18 0 1
2026-01-10 15:56:48,45 10 63 47 0 75 18 0 1
2026-01-10 15:56:53,45 10 63 47 0 75 18 0 1
2026-01-10 15:56:58,45 10 63 47 0 75 18 0 1
2026-01-10 15:57:03,45 10 63 47 0 75 18 0 1
2026-01-10 15:57:08,45 10 63 47 0 75 18 0 1
2026-01-10 15:57:13,45 10 63 47 0 75 18 0 1
2026-01-10 15:57:18,45 10 63 47 0 75 18 0 1
2026-01-10 15:57:23,45 10 63 47 0 75 18 0 1
2026-01-10 15:57:24,45 10 63 47 0 75 18 0 1
2026-01-10 15:57:28,45 10 63 47 0 75 18 0 1
2026-01-10 15:58:34,45 10 63 47 0 75 18 0 1
2026-01-10 15:58:43,44 72 62 46 0 75 18 0 0
2026-01-10 15:58:48,44 72 62 46 0 75 18 0 0
2026-01-10 15:58:53,44 72 62 46 0 75 18 0 0
2026-01-10 15:58:58,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:03,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:08,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:13,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:18,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:23,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:28,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:33,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:38,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:43,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:44,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:48,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:53,44 72 62 46 0 75 18 0 0
2026-01-10 15:59:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:00:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:01:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:02:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:03:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:04:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:04:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:04:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:04:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:04:22,44 72 62 46 0 75 18 0 0
2026-01-10 16:04:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:04:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:05:32,44 72 62 46 0 75 18 0 0
2026-01-10 16:06:42,44 72 62 46 0 75 18 0 0
2026-01-10 16:07:52,44 72 62 46 0 75 18 0 0
2026-01-10 16:09:01,44 72 62 46 0 75 18 0 0
2026-01-10 16:10:11,44 72 62 46 0 75 18 0 0
2026-01-10 16:11:21,44 72 62 46 0 75 18 0 0
2026-01-10 16:12:31,44 72 62 46 0 75 18 0 0
2026-01-10 16:13:40,44 72 62 46 0 75 18 0 0
2026-01-10 16:14:50,44 72 62 46 0 75 18 0 0
2026-01-10 16:16:00,44 72 62 46 0 75 18 0 0
2026-01-10 16:17:10,44 72 62 46 0 75 18 0 0
2026-01-10 16:18:19,44 72 62 46 0 75 18 0 0
2026-01-10 16:19:29,44 72 62 46 0 75 18 0 0
2026-01-10 16:20:39,44 72 62 46 0 75 18 0 0
2026-01-10 16:20:48,44 72 62 46 0 75 18 0 1
2026-01-10 16:20:53,44 72 62 46 0 75 18 0 1
2026-01-10 16:20:58,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:03,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:08,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:13,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:18,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:23,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:28,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:33,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:38,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:43,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:48,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:48,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:53,44 72 62 46 0 75 18 0 1
2026-01-10 16:21:58,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:03,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:08,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:13,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:18,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:23,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:28,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:33,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:38,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:43,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:48,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:53,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:58,44 72 62 46 0 75 18 0 1
2026-01-10 16:22:58,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:03,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:08,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:13,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:18,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:23,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:28,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:33,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:38,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:43,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:48,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:53,44 72 62 46 0 75 18 0 1
2026-01-10 16:23:58,44 72 62 46 0 75 18 0 1
2026-01-10 16:24:03,44 72 62 46 0 75 18 0 1
2026-01-10 16:24:08,44 72 62 46 0 75 18 0 1
2026-01-10 16:24:08,44 72 62 46 0 75 18 0 1
2026-01-10 16:24:13,44 72 62 46 0 75 18 0 1
2026-01-10 16:25:18,44 72 62 46 0 75 18 0 1
2026-01-10 16:26:27,44 72 62 46 0 75 18 0 1
2026-01-10 16:27:37,44 72 62 46 0 75 18 0 1
2026-01-10 16:28:47,44 72 62 46 0 75 18 0 1
2026-01-10 16:29:57,44 72 62 46 0 75 18 0 1
2026-01-10 16:31:06,44 72 62 46 0 75 18 0 1
2026-01-10 16:32:16,44 72 62 46 0 75 18 0 1
2026-01-10 16:33:26,44 72 62 46 0 75 18 0 1
2026-01-10 16:34:35,44 72 62 46 0 75 18 0 1
2026-01-10 16:35:45,44 72 62 46 0 75 18 0 1
2026-01-10 16:36:55,44 72 62 46 0 75 18 0 1
2026-01-10 16:38:05,44 72 62 46 0 75 18 0 1
2026-01-10 16:39:14,44 72 62 46 0 75 18 0 1
2026-01-10 16:40:24,44 72 62 46 0 75 18 0 1
2026-01-10 16:41:34,44 72 62 46 0 75 18 0 1
2026-01-10 16:42:44,44 72 62 46 0 75 18 0 1
2026-01-10 16:42:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:42:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:43:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:44:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:45:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:33,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:38,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:43,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:48,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:53,44 72 62 46 0 75 18 0 0
2026-01-10 16:46:58,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:03,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:08,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:13,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:18,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:22,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:23,44 72 62 46 0 75 18 0 0
2026-01-10 16:47:28,44 72 62 46 0 75 18 0 0
2026-01-10 16:48:32,44 72 62 46 0 75 18 0 0
2026-01-10 16:49:42,44 72 62 46 0 75 18 0 0
2026-01-10 16:50:52,44 72 62 46 0 75 18 0 0
2026-01-10 16:52:01,44 72 62 46 0 75 18 0 0
2026-01-10 16:53:11,44 72 62 46 0 75 18 0 0
2026-01-10 16:54:21,44 72 62 46 0 75 18 0 0
2026-01-10 16:55:31,44 72 62 46 0 75 18 0 0
2026-01-10 16:56:40,44 72 62 46 0 75 18 0 0
2026-01-10 16:57:50,44 72 62 46 0 75 18 0 0
2026-01-10 16:59:00,44 72 62 46 0 75 18 0 0
2026-01-10 17:00:10,44 72 62 46 0 75 18 0 0
2026-01-10 17:01:19,44 72 62 46 0 75 18 0 0
2026-01-10 17:02:29,44 72 62 46 0 75 18 0 0
2026-01-10 17:03:39,44 72 62 46 0 75 18 0 0
2026-01-10 17:04:48,44 72 62 46 0 75 18 0 0
2026-01-10 17:05:58,44 72 62 46 0 75 18 0 0
2026-01-10 17:07:08,44 72 62 46 0 75 18 0 0
2026-01-10 17:07:18,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:23,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:28,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:33,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:38,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:43,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:48,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:53,44 72 62 46 0 75 18 0 1
2026-01-10 17:07:58,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:03,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:08,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:13,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:18,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:18,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:23,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:28,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:33,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:38,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:43,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:48,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:53,44 72 62 46 0 75 18 0 1
2026-01-10 17:08:58,44 72 62 46 0 75 18 0 1
2026-01-10 17:09:03,44 72 62 46 0 75 18 0 1
2026-01-10 17:09:08,44 72 62 46 0 75 18 0 1
2026-01-10 17:09:13,44 72 62 46 0 75 18 0 1
